Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Precious Achiuwa,C,24,TOR,14,0,254,41,95,0.432,6,23,0.261,35,72,0.486,0.463,14,25,0.56,32,54,86,28,8,6,18,25,102
2,Bam Adebayo,C,26,MIA,16,16,537,132,253,0.522,1,3,0.333,131,250,0.524,0.524,91,112,0.813,33,126,159,62,19,16,39,39,356
3,Ochai Agbaji,SG,23,UTA,20,8,402,44,96,0.458,23,59,0.39,21,37,0.568,0.578,4,6,0.667,18,36,54,22,12,12,15,29,115
4,Santi Aldama,PF,23,MEM,13,4,354,72,159,0.453,23,74,0.311,49,85,0.576,0.525,14,23,0.609,19,63,82,25,10,9,16,24,181
5,Nickeil Alexander-Walker,SG,25,MIN,19,8,447,48,117,0.41,26,75,0.347,22,42,0.524,0.521,5,11,0.455,8,33,41,51,18,14,20,37,127
6,Grayson Allen,SG,28,PHO,18,18,590,72,148,0.486,40,86,0.465,32,62,0.516,0.622,29,33,0.879,14,70,84,53,11,7,28,42,213
7,Jarrett Allen,C,25,CLE,15,15,441,83,120,0.692,0,0,,83,120,0.692,0.692,41,55,0.745,48,73,121,35,8,17,26,40,207
8,Jose Alvarado,PG,25,NOP,8,0,131,22,51,0.431,11,27,0.407,11,24,0.458,0.539,3,8,0.375,4,13,17,16,9,3,8,10,58
9,Kyle Anderson,PF,30,MIN,19,0,459,53,106,0.5,2,12,0.167,51,94,0.543,0.509,30,44,0.682,15,57,72,76,16,15,31,28,138
10,Giannis Antetokounmpo,PF,29,MIL,19,19,652,219,361,0.607,8,35,0.229,211,326,0.647,0.618,123,188,0.654,53,152,205,94,26,26,79,59,569
11,Thanasis Antetokounmpo,PF,31,MIL,7,0,44,3,8,0.375,0,0,,3,8,0.375,0.375,0,0,,2,2,4,4,1,1,4,7,6
12,Cole Anthony,PG,23,ORL,20,0,515,98,222,0.441,29,78,0.372,69,144,0.479,0.507,79,93,0.849,23,69,92,71,15,10,41,60,304
13,OG Anunoby,SF,26,TOR,16,16,509,88,190,0.463,40,100,0.4,48,90,0.533,0.568,17,29,0.586,17,49,66,34,18,12,28,38,233
